INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
212039982,3801,,M/V ACCIDENT - OTHER,D4,167,0,2021-06-14 19:49:00,2021,6,Monday,19,,HARRISON AVE,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
212016705,3005,,SICK ASSIST,B2,237,0,2021-03-16 03:25:00,2021,3,Tuesday,3,,E COTTAGE ST,42.3210349256418,-71.0634892632256,"(42.3210349256418, -71.0634892632256)"
212016224,3802,,M/V ACCIDENT - PROPERTY DAMAGE,C11,336,0,2021-03-13 22:04:00,2021,3,Saturday,22,,"COLUMBIA RD & HAMILTON ST
DORCHESTER  MA 02125
UNI",42.3102109701122,-71.0723370024472,"(42.3102109701122, -71.0723370024472)"
212007852,3207,,PROPERTY - FOUND,C11,355,0,2021-02-05 00:00:00,2021,2,Friday,0,,GIBSON ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212022552,301,,ROBBERY,A1,84,0,2021-04-08 14:18:00,2021,4,Thursday,14,,HANOVER ST,42.3627523968463,-71.0555646063358,"(42.3627523968463, -71.0555646063358)"
212038680,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,117,0,2021-06-10 01:27:00,2021,6,Thursday,1,,LAGRANGE STREET,0.0,0.0,"(0, 0)"
212027401,3410,,TOWED MOTOR VEHICLE,B2,295,0,2021-04-28 08:22:00,2021,4,Wednesday,8,,DABNEY ST,42.3245168857255,-71.0837702978704,"(42.3245168857255, -71.0837702978704)"
212005081,801,,ASSAULT - SIMPLE,C11,342,0,2021-01-24 05:11:00,2021,1,Sunday,5,,BOWDOIN ST,42.304065511592,-71.0700332010364,"(42.304065511592, -71.0700332010364)"
212012532,3201,,PROPERTY - LOST/ MISSING,D4,167,0,2021-02-25 16:20:00,2021,2,Thursday,16,,HUNTINGTON AVE,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
212028384,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B2, ,0,2021-05-02 11:06:00,2021,5,Sunday,11,,E COTTAGE ST,42.3214055474047,-71.0718071837581,"(42.3214055474047, -71.0718071837581)"
212022728,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,783,0,2021-04-08 16:15:00,2021,4,Thursday,16,,RIDGEMONT ST,42.3512892610878,-71.1414603408935,"(42.3512892610878, -71.1414603408935)"
212024694,3005,,SICK ASSIST,B3,456,0,2021-04-17 01:54:00,2021,4,Saturday,1,,ELLINGTON ST,42.3015455473963,-71.0811818366696,"(42.3015455473963, -71.0811818366696)"
212021977,3007,,SUDDEN DEATH,D14,956,0,2021-04-06 09:05:00,2021,4,Tuesday,9,,WASHINGTON ST,42.3426694554318,-71.1409877858298,"(42.3426694554318, -71.1409877858298)"
212014614,2670,,HARASSMENT/ CRIMINAL HARASSMENT,C11,360,0,2021-03-07 14:09:00,2021,3,Sunday,14,,DORCHESTER AVE,42.297689538388,-71.0609095402986,"(42.297689538388, -71.0609095402986)"
212012593,3207,,PROPERTY - FOUND,A7,28,0,2021-02-26 17:30:00,2021,2,Friday,17,,PARIS ST,42.3708180467024,-71.0392907813515,"(42.3708180467024, -71.0392907813515)"
212009257,3410,,TOWED MOTOR VEHICLE,D4,270,0,2021-02-12 01:19:00,2021,2,Friday,1,,"FELLOWS ST & NORTHAMPTON ST
ROXBURY  MA 02119
UNIT",42.333461000373,-71.0750180294251,"(42.333461000373, -71.0750180294251)"
212042188,3201,,PROPERTY - LOST/ MISSING,C11,355,0,2021-06-22 11:57:00,2021,6,Tuesday,11,,GIBSON ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212020467,3410,,TOWED MOTOR VEHICLE,C6,187,0,2021-03-31 07:11:00,2021,3,Wednesday,7,,WASHBURN ST,42.3256004789081,-71.0576126393107,"(42.3256004789081, -71.0576126393107)"
212029115,617,,LARCENY THEFT FROM BUILDING,A7,26,0,2021-05-04 18:00:00,2021,5,Tuesday,18,,BORDER ST,42.3816650066086,-71.0403031384924,"(42.3816650066086, -71.0403031384924)"
212032624,540,,BURGLARY - COMMERICAL,A1,77,0,2021-05-18 19:23:00,2021,5,Tuesday,19,,NEW SUDBURY ST,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
212008886,1402,,VANDALISM,B3,464,0,2021-01-12 17:00:00,2021,1,Tuesday,17,,BLUE HILL AVE,42.2917181578815,-71.0891180727784,"(42.2917181578815, -71.0891180727784)"
212016019,3114,,INVESTIGATE PROPERTY,C6,220,0,2021-03-13 04:51:00,2021,3,Saturday,4,,MERCER ST,42.3333952887946,-71.0490264510566,"(42.3333952887946, -71.0490264510566)"
